cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
18196	Organohalogen compounds	Aryl halides	unclassified	unclassified	Aryl halides
174015	Organohalogen compounds	Aryl halides	Aryl fluorides	unclassified	Aryl fluorides
32810	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
1056	Organoheterocyclic compounds	Thiophenes	Thiophene carboxylic acids and derivatives	unclassified	Thiophene carboxylic acids and derivatives
11534	Organic nitrogen compounds	Organonitrogen compounds	unclassified	unclassified	Organonitrogen compounds
24800	Lipids and lipid-like molecules	Fatty Acyls	unclassified	unclassified	Fatty Acyls
28487	Benzenoids	Benzene and substituted derivatives	Trifluoromethylbenzenes	unclassified	Trifluoromethylbenzenes
2507	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
34162	Organic 1,3-dipolar compounds	Allyl-type 1,3-dipolar organic compounds	Organic nitro compounds	C-nitro compounds	Nitroaromatic compounds
19090	Benzenoids	Phenol ethers	unclassified	unclassified	Phenol ethers
185709	unclassified	unclassified	unclassified	unclassified	unclassified
53432	Benzenoids	Phenol ethers	Anisoles	unclassified	Anisoles
10591	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
73654	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	unclassified	Fatty acids and conjugates
61104	Organic acids and derivatives	Boronic acid derivatives	Boronic acids	unclassified	Boronic acids
28051	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Methoxybenzoic acids and derivatives	Methoxybenzoic acids and derivatives
213743	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
243214	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	Carboxylic acid amides	Secondary carboxylic acid amides
174361	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
18227	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
5445	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
52915	Lipids and lipid-like molecules	Sphingolipids	unclassified	unclassified	Sphingolipids
6086	Phenylpropanoids and polyketides	Macrolides and analogues	unclassified	unclassified	Macrolides and analogues
14340	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
78924	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	unclassified	Triterpenoids
174701	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids
60999	unclassified	unclassified	unclassified	unclassified	unclassified
3503	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
